positive	root
negative	root
ambiguous	root
sentimental	positive
anticipating	positive
caring	positive
faithful	positive
grateful	positive
impressed	positive
trusting	positive
prepared	positive
confident	positive
content	positive
excited	positive
hopeful	positive
proud	positive
joyful	positive
sentimental	root
anticipating	root
caring	root
faithful	root
grateful	root
impressed	root
trusting	root
prepared	root
confident	root
content	root
excited	root
hopeful	root
proud	root
joyful	root
sentimental	affection
anticipating	joyful
caring	affection
faithful	optimism
grateful	content
impressed	joyful
trusting	affection
prepared	optimism
confident	optimism
content	joyful
excited	zest
hopeful	optimism
proud	pride
affection	joyful
optimism	joyful
zest	joyful
pride	joyful
affection	root
optimism	root
zest	root
pride	root
disappointed	negative
embarrassed	negative
nostalgic	negative
anxious	negative
annoyed	negative
angry	negative
afraid	negative
devastated	negative
ashamed	negative
apprehensive	negative
disgusted	negative
furious	negative
guilty	negative
jealous	negative
lonely	negative
sad	negative
terrified	negative
disappointed	root
embarrassed	root
nostalgic	root
anxious	root
annoyed	root
angry	root
afraid	root
devastated	root
ashamed	root
apprehensive	root
disgusted	root
furious	root
guilty	root
jealous	root
lonely	root
sad	root
terrified	root
disappointed	sad
embarrassed	neglect
nostalgic	neglect
anxious	nervousness
annoyed	irritability
afraid	horror
devastated	sad
ashamed	sad
apprehensive	nervousness
disgusted	angry
furious	rage
guilty	ashamed
jealous	envy
lonely	neglect
terrified	horror
neglect	sad
nervousness	afraid
rage	angry
envy	angry
irritability	angry
horror	afraid
neglect	sad
nervousness	root
rage	root
envy	root
irritability	root
horror	root
surprised	ambiguous
surprised	root
